<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2013.11.17	1.34917	1.35770	1.33992	1.35554	182263	0	1
2013.11.24	1.35536	1.36214	1.34902	1.35901	159441	0	1
2013.12.01	1.35878	1.37061	1.35241	1.37045	198467	0	1
2013.12.08	1.37101	1.38105	1.36943	1.37376	173876	0	1
2013.12.15	1.37370	1.38111	1.36251	1.36700	197458	0	1
2013.12.22	1.36723	1.38930	1.36547	1.37462	105245	0	1
2013.12.29	1.37586	1.38189	1.35821	1.35874	156598	0	1
2014.01.05	1.35955	1.36871	1.35484	1.36665	200208	0	1
2014.01.12	1.36662	1.36992	1.35168	1.35405	189193	0	1
2014.01.19	1.35325	1.37393	1.35074	1.36752	198826	0	1
2014.01.26	1.36800	1.37163	1.34790	1.34849	222017	0	1
2014.02.02	1.34855	1.36425	1.34770	1.36342	224074	0	1
2014.02.09	1.36232	1.37145	1.35620	1.36918	168062	0	1
2014.02.16	1.37007	1.37730	1.36857	1.37380	148491	0	1
2014.02.23	1.37382	1.38241	1.36430	1.38016	170799	0	1
2014.03.02	1.37856	1.39146	1.37072	1.38746	183866	0	1
2014.03.09	1.38761	1.39666	1.38335	1.39134	325073	0	1
2014.03.16	1.39062	1.39474	1.37490	1.37933	317053	0	1
2014.03.23	1.37914	1.38757	1.37047	1.37513	342361	0	1
2014.03.30	1.37531	1.38201	1.36725	1.37014	327388	0	1
2014.04.06	1.37008	1.39057	1.36960	1.38844	263116	0	1
2014.04.13	1.38573	1.38645	1.37899	1.38068	163032	0	1
2014.04.20	1.38164	1.38545	1.37849	1.38330	148035	0	1
2014.04.27	1.38394	1.38889	1.37749	1.38689	180202	0	1
2014.05.04	1.38724	1.39932	1.37453	1.37577	232961	0	1
2014.05.11	1.37569	1.37747	1.36484	1.36933	206253	0	1
2014.05.18	1.36978	1.37337	1.36155	1.36280	154702	0	1
2014.05.25	1.36246	1.36681	1.35858	1.36339	135950	0	1
2014.06.01	1.36304	1.36769	1.35028	1.36423	212522	0	1
2014.06.08	1.36458	1.36685	1.35121	1.35379	197118	0	1
2014.06.15	1.35373	1.36433	1.35129	1.35995	183483	0	1
2014.06.22	1.35858	1.36504	1.35733	1.36477	148257	0	12
2014.06.29	1.36406	1.36996	1.35847	1.35920	129318	0	15
2014.07.06	1.35923	1.36500	1.35751	1.36041	126164	0	15
2014.07.13	1.35976	1.36394	1.34905	1.35225	141220	0	14
2014.07.20	1.35251	1.35483	1.34210	1.34260	131525	0	13
2014.07.27	1.34293	1.34441	1.33665	1.34268	136197	0	14
2014.08.03	1.34297	1.34317	1.33324	1.34089	208259	0	14
2014.08.10	1.34052	1.34143	1.33351	1.33976	270145	0	0
2014.08.17	1.33897	1.33983	1.32198	1.32397	272337	0	0
2014.08.24	1.31964	1.32198	1.31314	1.31318	250249	0	0
2014.08.31	1.31261	1.31591	1.29194	1.29522	263715	0	0
2014.09.07	1.29534	1.29783	1.28585	1.29615	230579	0	0
2014.09.14	1.29710	1.29941	1.28290	1.28293	315940	0	0
2014.09.21	1.28292	1.28997	1.26760	1.26807	247883	0	0
2014.09.28	1.26783	1.27139	1.24996	1.25146	309378	0	0
2014.10.05	1.25105	1.27904	1.25079	1.26227	330636	0	0
2014.10.12	1.26293	1.28856	1.26196	1.27578	403855	0	0
2014.10.19	1.27484	1.28393	1.26132	1.26673	347514	0	0
2014.10.26	1.26726	1.27699	1.24848	1.25226	356916	0	0
2014.11.02	1.25035	1.25766	1.23570	1.24520	493587	0	0
2014.11.09	1.24685	1.25454	1.23935	1.25227	408648	0	0
2014.11.16	1.25301	1.25991	1.23742	1.23897	442268	0	0
2014.11.23	1.23591	1.25305	1.23591	1.24486	349189	0	0
2014.11.30	1.24649	1.25059	1.22701	1.22861	409880	0	0
2014.12.07	1.22868	1.24943	1.22464	1.24564	455038	0	17
2014.12.14	1.24743	1.25690	1.22193	1.22283	452743	0	17
2014.12.21	1.22221	1.22717	1.21641	1.21784	147183	0	17
2014.12.28	1.21764	1.22202	1.19993	1.20002	173676	0	17
2015.01.04	1.19511	1.19756	1.17534	1.18396	432367	0	17
2015.01.11	1.18452	1.18700	1.14591	1.15601	592248	0	17
2015.01.18	1.15499	1.16791	1.11137	1.12042	575259	0	17
2015.01.25	1.11485	1.14218	1.10969	1.12817	575130	0	16
2015.02.01	1.13110	1.15328	1.12915	1.13133	585436	0	16
2015.02.08	1.12956	1.14423	1.12694	1.13882	506485	0	15
2015.02.15	1.13950	1.14496	1.12780	1.13788	452832	0	16
2015.02.22	1.13886	1.13952	1.11753	1.11943	454669	0	16
2015.03.01	1.11772	1.12399	1.08385	1.08453	473803	0	16
2015.03.08	1.08255	1.09057	1.04616	1.04936	628852	0	15
2015.03.15	1.04690	1.10412	1.04690	1.08142	655751	0	16
2015.03.22	1.08372	1.10515	1.07666	1.08909	692690	0	16
2015.03.29	1.08847	1.10263	1.07122	1.09726	538669	0	15
2015.04.05	1.10001	1.10349	1.05671	1.06031	552655	0	16
2015.04.12	1.05840	1.08482	1.05196	1.08033	706728	0	16
2015.04.19	1.08173	1.08992	1.06590	1.08720	637775	0	16
2015.04.26	1.08630	1.12894	1.08185	1.11958	681908	0	16
2015.05.03	1.11905	1.13910	1.10655	1.12091	674196	0	16
2015.05.10	1.11966	1.14662	1.11302	1.14455	616965	0	16
2015.05.17	1.14455	1.14490	1.10013	1.10103	654439	0	16
2015.05.24	1.10008	1.10090	1.08183	1.09926	620565	0	16
2015.05.31	1.09796	1.13791	1.08863	1.11136	732589	0	16
2015.06.07	1.10957	1.13857	1.10834	1.12633	717422	0	16
2015.06.14	1.12100	1.14354	1.11885	1.13466	623074	0	16
2015.06.21	1.13757	1.14097	1.11292	1.11704	587650	0	16
2015.06.28	1.10020	1.12776	1.09532	1.11081	637614	0	16
2015.07.05	1.09870	1.12153	1.09156	1.11525	709227	0	16
2015.07.12	1.10918	1.11964	1.08275	1.08285	587108	0	16
2015.07.19	1.08275	1.10172	1.08078	1.09758	539369	0	16
2015.07.26	1.09806	1.11285	1.08924	1.09828	565835	0	16
2015.08.02	1.09704	1.09952	1.08474	1.09624	532535	0	16
2015.08.09	1.09627	1.12132	1.09246	1.11104	579414	0	16
2015.08.16	1.11156	1.13878	1.10163	1.13846	553785	0	16
2015.08.23	1.13739	1.17132	1.11552	1.11800	892754	0	16
2015.08.30	1.11708	1.13314	1.10864	1.11499	617842	0	16
2015.09.06	1.11637	1.13487	1.11207	1.13333	549790	0	16
2015.09.13	1.13300	1.14596	1.12133	1.12982	522280	0	16
2015.09.20	1.12798	1.13296	1.11044	1.11960	554500	0	16
2015.09.27	1.11841	1.13176	1.11342	1.12089	571158	0	16
2015.10.04	1.12163	1.13864	1.11711	1.13584	519041	0	16
2015.10.11	1.13604	1.14944	1.13335	1.13492	453318	0	16
2015.10.18	1.13561	1.13863	1.09959	1.10163	469249	0	16
2015.10.25	1.09980	1.10951	1.08961	1.10028	518280	0	16
2015.11.01	1.10338	1.10518	1.07054	1.07426	486104	0	16
2015.11.08	1.07274	1.08292	1.06735	1.07689	528605	0	16
2015.11.15	1.07381	1.07623	1.06162	1.06460	513438	0	16
2015.11.22	1.06363	1.06884	1.05651	1.05915	459356	0	16
2015.11.29	1.05879	1.09804	1.05209	1.08761	592970	0	16
2015.12.06	1.08706	1.10423	1.07952	1.09919	547367	0	16
2015.12.13	1.09828	1.10589	1.08018	1.08665	631853	0	14
2015.12.20	1.08514	1.09833	1.08457	1.09494	297719	0	16
2015.12.27	1.09502	1.09917	1.08521	1.08601	235757	0	16
2016.01.03	1.08712	1.09457	1.07099	1.09249	592087	0	16
2016.01.10	1.09173	1.09839	1.08041	1.09123	644267	0	16
2016.01.17	1.09208	1.09752	1.07770	1.07957	632352	0	16
2016.01.24	1.07904	1.09668	1.07884	1.08299	582241	0	14
2016.01.31	1.08306	1.12452	1.08138	1.11571	629565	0	0
2016.02.07	1.11413	1.13757	1.10858	1.12530	875002	0	16
2016.02.14	1.12331	1.12492	1.10659	1.11287	626628	0	16
2016.02.21	1.11104	1.11240	1.09110	1.09267	610736	0	16
2016.02.28	1.09123	1.10427	1.08248	1.10104	561614	0	16
2016.03.06	1.09861	1.12172	1.08213	1.11473	594680	0	16
2016.03.13	1.11441	1.13416	1.10571	1.12709	548870	0	16
2016.03.20	1.12665	1.12840	1.11435	1.11656	400521	0	16
2016.03.27	1.11598	1.14372	1.11521	1.13916	464687	0	16
2016.04.03	1.13997	1.14533	1.13259	1.13941	475446	0	16
2016.04.10	1.14161	1.14639	1.12331	1.12824	452427	0	16
2016.04.17	1.13006	1.13956	1.12174	1.12217	441814	0	14
2016.04.24	1.12151	1.14585	1.12144	1.14490	482540	0	16
2016.05.01	1.14597	1.16155	1.13852	1.14014	522465	0	14
2016.05.08	1.13952	1.14458	1.12822	1.13080	436243	0	14
2016.05.15	1.13107	1.13478	1.11792	1.12230	432362	0	16
2016.05.22	1.12079	1.12420	1.11100	1.11116	419889	0	16
2016.05.29	1.11126	1.13728	1.10972	1.13665	466634	0	16
2016.06.05	1.13552	1.14147	1.12446	1.12499	470049	0	16
2016.06.12	1.12486	1.13024	1.11302	1.12751	571843	0	16
2016.06.19	1.13309	1.14273	1.09095	1.11139	693567	0	16
2016.06.26	1.10112	1.11686	1.09699	1.11378	689373	0	16
2016.07.03	1.11281	1.11852	1.10013	1.10503	453601	0	16
2016.07.10	1.10491	1.11640	1.10149	1.10338	499495	0	14
2016.07.17	1.10482	1.10834	1.09546	1.09761	446709	0	16
2016.07.24	1.09708	1.11968	1.09513	1.11748	478991	0	16
2016.07.31	1.11741	1.12330	1.10450	1.10874	404126	0	16
2016.08.07	1.10791	1.12205	1.10698	1.11628	353884	0	16
2016.08.14	1.11664	1.13656	1.11528	1.13237	436709	0	16
2016.08.21	1.13083	1.13543	1.11799	1.11928	421825	0	16
2016.08.28	1.11769	1.12514	1.11224	1.11538	427353	0	15
2016.09.04	1.11566	1.13264	1.11388	1.12305	429521	0	16
2016.09.11	1.12355	1.12829	1.11487	1.11558	493596	0	16
2016.09.18	1.11521	1.12565	1.11224	1.12252	463380	0	16
2016.09.25	1.12290	1.12783	1.11526	1.12402	446020	0	16
2016.10.02	1.12275	1.12434	1.11036	1.12010	455814	0	16
2016.10.09	1.11786	1.12026	1.09699	1.09702	442152	0	15
2016.10.16	1.09681	1.10385	1.08585	1.08826	347607	0	14
2016.10.23	1.08814	1.09910	1.08502	1.09858	398379	0	16
2016.10.30	1.09838	1.11391	1.09352	1.11385	421875	0	16
2016.11.06	1.10593	1.12988	1.08296	1.08555	653495	0	16
2016.11.13	1.08316	1.08405	1.05684	1.05869	605029	0	16
2016.11.20	1.05921	1.06572	1.05172	1.05889	564651	0	16
2016.11.27	1.06075	1.06891	1.05519	1.06607	584613	0	16
2016.12.04	1.06611	1.08730	1.05051	1.05599	546550	0	16
2016.12.11	1.05317	1.06691	1.03656	1.04492	575670	0	16
2016.12.18	1.04372	1.04986	1.03515	1.04553	438783	0	16
2016.12.25	1.04644	1.06517	1.03713	1.05282	398611	0	16
2017.01.01	1.05143	1.06207	1.03395	1.05309	517624	0	16
2017.01.08	1.05296	1.06839	1.04530	1.06400	588316	0	16
2017.01.15	1.06036	1.07186	1.05784	1.06991	609122	0	16
2017.01.22	1.07004	1.07741	1.06568	1.06958	529062	0	16
2017.01.29	1.07200	1.08281	1.06195	1.07853	801603	38867199611328	16
2017.02.05	1.07892	1.07905	1.06069	1.06392	1394342	139422398605776	16
2017.02.12	1.06275	1.06786	1.05205	1.06093	1350745	135074498649255	15
2017.02.19	1.06075	1.06320	1.04929	1.05608	1483843	148384298516157	16
2017.02.26	1.05628	1.06300	1.04941	1.06214	1620612	162061198379388	14
2017.03.05	1.06086	1.06983	1.05243	1.06737	1510157	151015698489843	14
2017.03.12	1.06844	1.07815	1.05992	1.07387	1495970	149596998504030	16
2017.03.19	1.07385	1.08239	1.07185	1.07971	1392005	138224098617759	16
2017.03.26	1.08381	1.09053	1.06507	1.06570	1388534	138853398611466	15
2017.04.02	1.06597	1.06884	1.05799	1.05895	1320575	132057498679425	16
2017.04.09	1.05875	1.06768	1.05691	1.06099	1124652	112465198875348	16
2017.04.16	1.06161	1.07768	1.06020	1.07235	1175889	117588898824111	16
2017.04.23	1.09184	1.09500	1.08200	1.08977	1416544	141654398583456	16
2017.04.30	1.09097	1.09986	1.08741	1.09980	1234484	123448398765516	16
2017.05.07	1.10192	1.10213	1.08384	1.09316	1410765	141076498589235	16
2017.05.14	1.09299	1.12110	1.09219	1.12069	1601639	160163898398361	16
2017.05.21	1.11950	1.12675	1.11598	1.11782	1519863	151986298480137	16
2017.05.28	1.11694	1.12844	1.11087	1.12798	1325104	132442598675574	16
2017.06.04	1.12720	1.12834	1.11656	1.11954	1476153	147615298523823	16
2017.06.11	1.12067	1.12951	1.11315	1.11949	1475948	147594798524052	16
2017.06.18	1.12056	1.12120	1.11182	1.11923	1501453	150145298498547	16
2017.06.25	1.11967	1.14446	1.11710	1.14203	1707861	170786098292139	16
2017.07.02	1.14181	1.14392	1.13116	1.14000	1590317	159031698409683	16
2017.07.09	1.13957	1.14888	1.13697	1.14665	1574640	157463998425360	16
2017.07.16	1.14727	1.16822	1.14340	1.16625	1744868	174486798255132	16
2017.07.23	1.16631	1.17760	1.16117	1.17489	1794358	179435798204562	16
2017.07.30	1.17460	1.19094	1.17223	1.17723	1737375	173737498262625	16
2017.08.06	1.17717	1.18464	1.16881	1.18206	498565	0	16
2017.08.13	1.18206	1.18377	1.16616	1.17584	602419	0	16
2017.08.20	1.17536	1.19406	1.17304	1.19211	505163	0	16
2017.08.27	1.19431	1.20695	1.18222	1.18604	746025	0	16
2017.09.03	1.18835	1.20917	1.18675	1.20312	746281	0	16
2017.09.10	1.20148	1.20287	1.18370	1.19453	588263	0	14
